"label","title","author","journal","issn","volume","number","pages","year","publisher","doi","abstract"
"X.ISI.000509420000007","Seasonal changes in yolk hormone concentrations carry-over to offspring traits","Jenni-Eiermann, Susanne and Jenni, Lukas and Marin, Juanita Olano and Homberger, Benjamin","GENERAL AND COMPARATIVE ENDOCRINOLOGY","0016-6480","287",NA,NA,"2020","ACADEMIC PRESS INC ELSEVIER SCIENCE","10.1016/j.ygcen.2019.113346","Yolk hormones are substances which transmit non-genetic factors from the mother to the next generation. The systematic changes of yolk hormone concentrations within asynchronously hatching clutches have been interpreted as a means to adaptively shape the offspring's phenotype. However, in synchronously hatching clutches the role of yolk hormones is less understood. We investigated whether seasonal changes between eggs in the yolk hormones testosterone (Testo), progesterone (Prog) and corticosterone (Cort) also occur in the grey partridge, a synchronously hatching precocial species without direct food competition between siblings. Specifically we asked whether yolk hormone concentrations systematically vary with season and whether they affect the offspring's hatching mass, mass gain, circulating baseline and stress-induced Cort. Additionally, we investigated the effect of genetic background and food availability on yolk hormone concentrations by subjecting grey partridge hens of two strains (wild and domesticated) to two different feeding regimes (predictable vs. unpredictable feeding) during egg laying. We hypothesized that egg hormone concentrations change over the season, but breeding in captivity over many generations and ad libitum food access could have resulted in domestication effects which abolished potential seasonal effects. Results showed that progressing season had a strong positive effect on yolk Prog and yolk Testo, but not on yolk Cort. Feeding regimes and strain had no effect on yolk hormones. Offspring mass and mass gain increased and baseline Cort decreased with progressing season. In addition, yolk Testo correlated positively with offspring mass gain and negatively with baseline Cort, while yolk Prog had a positive correlation with baseline Cort. Strain and feeding regimes of the mother had no effect on offspring traits. In conclusion, grey partridge chicks hatching late in the season might benefit from the increased concentrations of the growth-stimulating yolk Testo and by this catch-up in development. Hence, yolk hormone concentration could adaptively shape the offspring phenotype in a precocial species."
"X.ISI.000509420000004","In ovo metabolism of estradiol to estrone sulfate in chicken eggs: Implications for how yolk estradiol influences embryonic development","Paitz, Ryan T. and Angles, Rachel and Cagney, Erin","GENERAL AND COMPARATIVE ENDOCRINOLOGY","0016-6480","287",NA,NA,"2020","ACADEMIC PRESS INC ELSEVIER SCIENCE","10.1016/j.ygcen.2019.113320","The steroid 17 beta-estradiol (herein ``estradiol{''}) is a potent regulator of sexual differentiation that exerts wide-ranging effects on the developing brain and other tissues. The developing gonads are an important source of estradiol but most, if not all, vertebrate embryos are also exposed to maternally derived estradiol during development. In birds, this maternally derived estradiol is present in the egg at the time of oviposition but very little is known about how this source of estradiol influences development. A critical aspect of understanding yolk estradiol effects is deciphering how steroid metabolism may regulate embryonic exposure to yolk estradiol. In this study, we examine the metabolic fate of estradiol during the first five days of incubation in chicken (Gallus gallus) eggs. Using tritiated estradiol to trace the movement and metabolism of estradiol, we demonstrate that estradiol is metabolized to estrone, which is subsequently conjugated to estrone sulfate as the primary metabolite. Estrone sulfate then accumulates in the albumen by day five of incubation. Overall, these findings have important implications for how yolk estradiol may influence development and alter offspring phenotype. Mechanisms through which estradiol, as well as estrone sulfate, might elicit effects are discussed."
"X.ISI.000499471600003","Age-related patterns of yolk androgen deposition are consistent with adaptive brood reduction in spotless starlings","Muriel, Jaime and Perez-Rodriguez, Lorenzo and Gil, Diego","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443","73","12",NA,"2019","SPRINGER","10.1007/s00265-019-2770-0","Female birds can influence offspring development by adjusting egg size or by a differential allocation of egg resources. Such maternal effects can be expected to be shaped by natural selection, given the costs connected to the allocation of maternal resources. Among egg components, yolk androgens play an important role in affecting offspring life-history traits. Despite their relevance for nestling development, factors accounting for the observed within- and between-clutch variation are still poorly known. By using a cross-sectional sampling approach, we tested the effect of female age, laying order and laying date on the deposition of yolk androstenedione (A4) and testosterone (T), since young and older females could maximize their fitness differently according to breeding conditions. We found a remarkable lack of differences in overall yolk androgen levels across different ages. However, comparing first-year with older females, our results showed that age did not influence yolk T levels at the beginning of the breeding season, whereas at the end, first-year females transferred lower hormone levels than older females. Within clutches, both androgens increased across the laying sequence, suggesting that late nestlings benefit from an increased allocation that could compensate hatching asynchrony. However, when considering A4, we found that, whereas older females always increased A4 levels across the laying sequence, first-year females did not increase it at the end of the breeding season, thus increasing the likelihood of brood reduction when environmental conditions became hardest. These findings suggest that yolk A4 variation may be particularly important at the within-clutch scale, by providing females with a tool to modify nestling hierarchies."
"X.ISI.000504343500007","The relationship between male social status, ejaculate and circulating testosterone concentration and female yolk androgen transfer in red junglefowl (Gallus gallus)","Lelono, Asmoro and Riedstra, Bernd and Groothuis, Ton G. G.","HORMONES AND BEHAVIOR","0018-506X","116",NA,NA,"2019","ACADEMIC PRESS INC ELSEVIER SCIENCE","10.1016/j.yhbeh.2019.104580","Several studies show that avian females prefer males based on their secondary sexual ornaments and dominance status. We tested in red junglefowl (Goth's gallus) how comb size affected the result of fighting and how the dominance status related to testosterone concentrations in their circulation and ejaculates. We subsequently tested how social status was related to female reproductive investment, including yolk hormone transfer. We found that after a fight 1) winners increased plasma T and decreased ejaculates T whereas losers' T remained unchanged, and 2) plasma T of winners was higher but ejaculates T was lower than those of losers. We argued those are consistent with the different reproductive strategies of dominant and subordinate males. Furthermore, in line with offspring sex-dependent growth patterns females transferred significantly more androstenedione to female than male embryos when mated with winners, while doing the opposite when mated with losers. We concluded therefore that female reproductive investment was affected by both partner quality and embryo sex. The results indicate that male quality influences sex-specific maternal investment, which could be mediated by ejaculate testosterone concentration."
"X.ISI.000493780600005","Genetic variation in maternal yolk testosterone allocation predicts female mating decisions in Japanese quail","Ledecka, Daniela and Zeman, Michal and Okuliarova, Monika","ANIMAL BEHAVIOUR","0003-3472","157",NA,"35-42","2019","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","10.1016/j.anbehav.2019.08.022","Maternal reproductive effort can be adjusted through the transfer of hormones into the eggs, where they influence embryo development, mediating short- and long-term maternal effects on offspring phenotype. While studies usually explore how females can increase their reproductive success through an allocation of yolk testosterone (T) under external environmental variability, it is less clear whether intrinsically driven interfemale differences in yolk T deposition may themselves predict female reproductive decisions. In our study, we used Japanese quail, Coturnix japonica, lines divergently selected for high (HET) and low (LET) egg T concentrations to examine whether this genetic variation in yolk T levels is linked to female mating decisions. First, we analysed line differences in male-typical reproductive behaviour and how this behavioural response is affected by female line identity. Males were tested with females from the same (match pairs) and opposite (cross pairs) lines. Next, female mate preferences were evaluated in a two-choice test in which females were allowed to choose between males from the same and opposite lines. We found no line differences in male copulatory behaviour. Interestingly, a shorter latency to copulate and a higher number of copulations were recorded in LET males when they were mated with HET than LET females. No differences between match and cross pairs were found in HET males. In the two-choice test, LET females displayed a preference for males from the same over the opposite line, but HET females did not discriminate between LET and HET males. Collectively, these results demonstrate that genetically high yolk T deposition is related to higher receptivity and reduced choosiness in female mate preferences in Japanese quail. Moreover, our results indicate an important link between maternal investment, reproductive physiology and female mating decisions, pointing out evolutionary implications and a role of variation in female mate choice in sexual selection. (C) 2019 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"X.ISI.000485326600002","Between- and Within-Individual Variation of Maternal Thyroid Hormone Deposition in Wild Great Tits (Parus major)","Hsu, Bin-Yan and Verhagen, Irene and Gienapp, Phillip and Darras, Veerle M. and Visser, Marcel E. and Ruuskanen, Suvi","AMERICAN NATURALIST","0003-0147","194","4","E96-E108","2019","UNIV CHICAGO PRESS","10.1086/704738","Maternal hormones are often considered a mediator of anticipatory maternal effects; namely, mothers adjust maternal hormone transfer to prepare the offspring for the anticipated environment. The flexibility for mothers to adjust hormone transfer is therefore a prerequisite for such anticipatory maternal effects. Nevertheless, previous studies have focused only on the average differences of maternal hormone transfer between groups and neglected the substantial individual variation, despite the fact that individual plasticity in maternal hormone transfer is actually the central assumption. In this study, we studied the between- and within-individual variation of maternal thyroid hormones (THs) in egg yolk of wild great tits (Parus major) and estimated the individual plasticity of maternal yolk THs across environmental temperature, clutch initiation dates, and egg laying order using linear mixed effects models. Interestingly, our models provide statistical evidence that the two main THs-the main biologically active hormone T3 and T4, which is mostly considered a prohormone-exhibited different variation patterns. Yolk T3 showed significant between-individual variation on the average levels, in line with its previously reported moderate heritability. Yolk T4, however, showed significant between-clutch variation in the pattern over the laying sequence, suggesting a great within-individual plasticity. Our findings suggest that the role and function of the hormone within the endocrine axis likely influences its flexibility to respond to environmental change. Whether the flexibility of T4 deposition brings a fitness advantage should be examined along with its potential effects on offspring, which remain to be further investigated."
"X.ISI.000485337100019","In ovo metabolism of progesterone to 5 beta-pregnanedione in chicken eggs: Implications for how yolk progesterone influences embryonic development","Paitz, Ryan T. and Cagney, Erin","GENERAL AND COMPARATIVE ENDOCRINOLOGY","0016-6480","282",NA,NA,"2019","ACADEMIC PRESS INC ELSEVIER SCIENCE","10.1016/j.ygcen.2019.113221","Progesterone has received substantial attention for the essential role it plays in establishing and maintaining pregnancy in placental vertebrates. Despite the prevalence of progesterone during development, relatively little is known about how embryos respond to progesterone. This is true of placental vertebrates as well as egg-laying vertebrates where levels of progesterone in the yolk tend to be higher than most other steroids in the yolk. Bird eggs provide an opportunity to investigate the effects of progesterone on embryonic development because progesterone can be easily manipulated without any confounding effects on maternal physiology. To understand how progesterone might influence embryonic development, it is important to characterize the metabolic fate of progesterone given its potential to be converted to a wide range of steroids. We investigated the metabolic fate of tritiated progesterone over the first four days of development using chicken eggs (Gallus gallus) and identified 5 beta-pregnanedione as the primary metabolite during this period. After only one day of development, 5 beta-pregnanedione could be detected within the yolk. Levels of 5 beta-pregnanedione in both the yolk and albumen tended to rise early in development but conjugated metabolites began to accumulate towards the end of our sampling period. Additionally, in vitro assays using embryo homogenates collected after 72 h of development demonstrated that embryos were capable of carrying out the conversion of progesterone to 5 beta-pregnanedione. Overall these results have important implications for deciphering the mechanisms through which yolk progesterone might influence embryonic development. Effects could arise via progesterone receptors or receptors capable of binding 5 beta-pregnanedione but we found no evidence that progesterone is serving as a precursor for androgen or estrogen production."
"X.ISI.000490841300002","Testosterone and Triiodothyronine in Franklin's Gull (Leucophaeus pipixcan) Eggs","Boertje, Ethan T. and Snyder, Nicole M. and Reed, Wendy L. and Kittilson, Jeffrey D. and Clark, Mark E.","WATERBIRDS","1524-4695","42","3","251-260","2019","WATERBIRD SOC","10.1675/063.042.0301","Maternally derived hormones are known to influence the growth and development of offspring. The differential deposition of these maternally derived hormones into egg yolk is one way by which females can alter their chicks' growth or survival. Yolk constituents, especially testosterone, have been described for a wide variety of species. However, few studies have focused on multiple maternally derived hormones regulated by independent axes in the endocrine system, and those studies that have, mainly focus on corticosterone and testosterone. In this study, within and among female variation in testosterone and triiodothyronine concentrations in egg yolks were measured in three free-living Franklin's Gull (Leucophaeus pipixcan) populations. Testosterone (T), but not triiodothyronine (T3), concentrations increase within a female's clutch such that eggs laid later in the clutch have increasingly higher concentrations (from a mean of 1.97 log pg T/mg yolk for the first egg to 2.98 log pg T/mg yolk for the third egg compared to a mean of 0.14 log pg T3/mg yolk for the first egg to 0.31 log pg T3/mg yolk for the third egg). Both testosterone and triiodothyronine concentrations increase among females across the breeding season such that eggs laid later in the season have significantly higher hormone concentrations (mean of 2.37 log pg T/mg yolk and mean of -0.03 log pg T3/mg yolk) than eggs laid early in the season (mean of 1.95 log pg T/mg yolk and mean of -0.17 log pg T3/mg yolk)."
"X.ISI.000486136600002","Effect of maternal environment on yolk immunoreactive corticosterone and its influence on adrenocortical and behavioral activity in chicks of Greater Rhea (Rhea americana)","Della Costa, Natalia S. and Navarro, Joaquin L. and Bernad, Lucia and Marin, Raul H. and Martella, Monica B.","HORMONES AND BEHAVIOR","0018-506X","114",NA,NA,"2019","ACADEMIC PRESS INC ELSEVIER SCIENCE","10.1016/j.yhbeh.2019.05.003","Maternal corticosterone in avian eggs may modify offspring phenotype in order to increase survival in poor environments. In the Greater Rhea (Rhea americana), we previously found that yolk immunoreactive corticosterone is influenced by the quality of the maternal environment: eggs laid by females of the intensive rearing system (IRS), living in poor captive conditions, had higher yolk immunoreactive corticosterone than those produced by females of the semi-extensive rearing system (SRS), living in better conditions. Here, we evaluate if these different hormone levels are associated with the production of different phenotypes. We collected eggs from the IRS and SRS for hormonal quantification and artificial incubation. Then, half of the chicks selected from each environment were exposed to a capture and restraint protocol, and the rest remained undisturbed and were used as controls. In the IRS, we found that higher yolk immunoreactive corticosterone was associated with the production of chicks that had reduced hatchability, lower hatchling mass and higher baseline fecal glucocorticoid metabolites (FGM) than those produced by SRS females. Moreover, after capture and restraint, IRS chicks did not modify their FGM nor their behaviors compared to their controls, while SRS chicks increased their FGM and spent more time ambulating and less time pecking, compared to their controls. These results indicate that yolk immunoreactive corticosterone could modify offspring phenotype. Although future studies are needed to elucidate their implications for fitness, our results suggest that yolk corticosterone could be mediating an adaptive maternal effect that allows individuals to better cope with poor conditions."
"X.ISI.000469243000005","Maternal investment in last-laid eggs does not compensate for hatching asynchrony in a seabird","Braasch, A. and Becker, P. H.","OECOLOGIA","0029-8549","190","1","47-58","2019","SPRINGER","10.1007/s00442-019-04399-9","Maternal and environmental effects can have profound effects on offspring performance by generating variation in offspring phenotypes, independent of genetic effects. Within avian broods, differential maternal investment of resources across the laying sequence is thought to be an adaptive strategy to modulate competitive hierarchies induced by hatching asynchrony. In this study, we evaluated the relative importance of maternally derived within-clutch variation and the asymmetric post-hatching environment for growth and survival of common tern (Sterna hirundo) siblings. We experimentally manipulated hatching order, resulting in chicks from last-laid eggs hatching first and vice versa. Although both initial age and size asymmetries were larger within experimental than control broods, the early survival of last-hatched chicks was similar between groups. Initial positive effects of egg size disappeared as siblings approached fledging. Ultimately at fledging, both within-brood growth and cumulative survival patterns were similar between experimental and control broods, suggesting that the effects of systematic variation of egg constituents (e.g., maternally derived yolk hormones) and egg size are too subtle and largely overwhelmed by the effects of hatching asynchrony. Therefore, we conclude that variation in offspring phenotypes is pre-dominantly determined by the social environment experienced post-hatching. Maternal effects may further fine-tune phenotypic variation in response to varying environmental conditions, but this needs to be tested through empirical studies in which multiple maternal effects are measured simultaneously under different environmental conditions."
"X.ISI.000461845400010","Experimental increase in temperature affects eggshell thickness, and not egg mass, eggshell spottiness or egg composition in the great tit (Parus major)","Bleu, Josefa and Agostini, Simon and Angelier, Frederic and Biard, Clotilde","GENERAL AND COMPARATIVE ENDOCRINOLOGY","0016-6480","275",NA,"73-81","2019","ACADEMIC PRESS INC ELSEVIER SCIENCE","10.1016/j.ygcen.2019.02.004","Phenotypic effects of global warming have been documented in many different taxa. However, the importance of transgenerational phenotypic plasticity in these adaptations are seldom studied. In birds, temperature could affect egg characteristics. Higher temperatures during egg-laying may reduce maintenance costs for females and allow a higher investment in reproduction. Yet, females may also use temperatures as a cue for the risk of mismatch latter in the season. Thus, higher temperatures may be correlated to an acceleration of embryonic development (e.g. via hormonal manipulation). We performed an experiment in which night-time temperature was increased in the nestbox by approximately 1 degrees C throughout the entire laying period in great tits (Parus major). We collected one pre-treatment egg (beginning of the laying sequence) and one post-treatment egg (end of the laying sequence). Egg content (yolk androgens and lysozymes in the albumen), eggshell coloration, eggshell mass, egg mass, and shape were not affected by the treatment. However, last-laid eggs in clutches from control nestboxes had a thicker eggshell than last-laid eggs from heated nestboxes, suggesting a putative slight decrease of maternal investment with the experimental increase of temperature. We also observed effects of the laying sequence on egg characteristics. Eggs that were laid late in the laying sequence were heavier, larger, had larger spots and higher yolk androgens than eggs laid earlier. Lysozyme concentration decrease with the laying sequence in late clutches only. Thus, effects of temperature may also change with the laying sequence and it would be interesting in the future to tests the effects on first-laid eggs."
"X.ISI.000465179500001","Yolk corticosterone in the Gouldian Finch (Erythrura gouldiae)","Miltiadous, Anna and Pryke, Sarah R. and Mariette, Mylene M. and Buchanan, Katherine L.","EMU-AUSTRAL ORNITHOLOGY","0158-4197","119","2","97-105","2019","TAYLOR \& FRANCIS AUSTRALASIA","10.1080/01584197.2018.1542974","Maternal hormones are thought to play an important role in determining the rate of evolutionary adaptation. Previous avian studies have shown that the transfer of maternally derived hormones, such as progesterone and testosterone, to the egg, affects many aspects of offspring development. In contrast, the impact of maternal corticosterone (CORT) is much less studied. CORT, the principal avian glucocorticoid hormone, is thought to be passively transferred to the egg yolk from the maternal plasma. Maternal CORT may play a role in determining the development of young birds by adaptively programming offspring for their environment. We developed a protocol which effectively quantifies yolk CORT concentrations both within and across clutches, using solid-phase extraction and radioimmunoassay. We hypothesised that Gouldian Finch (Erythrura gouldiae) mothers would differ in their yolk CORT concentrations and that maternal condition would relate to absolute yolk CORT deposition. We found variation in yolk CORT concentrations between clutches, whilst yolk CORT increased with egg number in the first breeding season and negatively correlated with yolk mass. Yet, contrary to our predictions, neither maternal mass nor clutch size showed any relationship to yolk CORT concentrations or to egg or yolk mass. Our data suggest that yolk CORT varies with maternal identity for reasons which do not appear to be linked to maternal condition. Further research is needed to determine the link between maternal and egg yolk concentrations at the individual level. Such tests would be valuable for understanding the role of CORT in the reproductive effects previously observed in this threatened species."
